#email,pname,typeid,teamid
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('lsloss0@creativecommons.org','Lancelot',2,1);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('kchetter1@e-recht24.de','Kyle',4,2);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('gtingly2@oracle.com','Giacopo',5,3);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('beddow3@yelp.com','Birdie',3,4);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('ppolendine4@ebay.co.uk','Paule',6,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('rdowears5@posterous.com','Rivy',3,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('ldowears6@prnewswire.com','Licha',1,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('mchase7@jimdo.com','Martynne',2,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('rbrownrigg8@cbsnews.com','Ronna',2,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('lrivelon9@hugedomains.com','Lyndell',4,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('lveazeya@apache.org','Lars',5,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('scomettib@discovery.com','Sharline',3,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('tsnoddonc@zdnet.com','Trefor',6,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('bffrenchd@china.com.cn','Bran',4,5);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('oerwine@cmu.edu','Orson',6,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('chelgassf@imgur.com','Catlin',6,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('njayg@google.com','Norene',2,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('gbrightieh@acquirethisname.com','Gracie',1,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('gstandrini@gizmodo.com','Gardie',4,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('mhollingsheadj@google.es','Madge',2,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('jclimiek@cocolog-nifty.com','Jackie',6,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('acutteridgel@census.gov','Ardith',5,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('rmatovicm@nhs.uk','Randie',5,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('escarlettn@oaic.gov.au','Ewan',3,6);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('abricketo@berkeley.edu','Arleta',4,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('nswadlingep@sphinn.com','Niel',3,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('nmackallq@elpais.com','Nichole',5,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('bricharzr@reddit.com','Beatrice',2,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('ltargetts@usnews.com','Lissa',6,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('jrubenchikt@cloudflare.com','Jereme',5,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('epollandu@china.com.cn','Edward',6,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('egrayerv@spotify.com','Ellissa',5,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('otrudgianw@archive.org','Oswald',6,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('rdyneleyx@wufoo.com','Richy',1,7);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('hdurany@shareasale.com','Heywood',2,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('rbenthamz@ucoz.com','Rudie',1,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('scharlton10@senate.gov','Stavros',1,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('rgwinnel11@berkeley.edu','Raye',1,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('dcracoe12@springer.com','Decca',4,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('dheaney13@slideshare.net','Derril',1,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('tgrocott14@redcross.org','Tersina',5,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('nbaskett15@amazon.de','Nonna',3,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('awreiford16@arstechnica.com','Alonso',6,8);
INSERT INTO Players(email,pname,typeid,teamid) VALUES ('ghealy17@a8.net','Gaultiero',2,8);
